City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
139,Salinas,US,2022-05-11 02:39:02,36.6777,-121.6555,57.79,63,0,18.41
140,Cusuna,HN,2022-05-11 02:40:01,15.85,-85.2333,75.76,92,11,6.8
141,East London,ZA,2022-05-11 02:40:01,-33.0153,27.9116,66.34,71,31,22.17
142,Hobart,AU,2022-05-11 02:40:00,-42.8794,147.3294,61.27,71,0,8.05
143,Kumano,JP,2022-05-11 02:40:02,34.3442,132.5894,63.77,95,100,3.27
144,Yerkoy,TR,2022-05-11 02:40:07,39.6381,34.4672,46.98,71,38,2.73
145,Castro,BR,2022-05-11 02:40:08,-24.7911,-50.0119,58.53,96,100,3.33
146,Dikson,RU,2022-05-11 02:40:08,73.5069,80.5464,28.81,85,100,20.89
147,Cabo San Lucas,MX,2022-05-11 02:40:09,22.8909,-109.9124,86.31,24,0,9.22
148,Provideniya,RU,2022-05-11 02:40:09,64.3833,-173.3,33.91,86,100,11.18
149,Bambous Virieux,MU,2022-05-11 02:40:10,-20.3428,57.7575,75.22,94,20,4.61
150,Iqaluit,CA,2022-05-11 02:40:11,63.7506,-68.5145,29.93,100,100,16.11
151,Atuona,PF,2022-05-11 02:40:11,-9.8,-139.0333,79.14,67,32,20.33
152,Correntina,BR,2022-05-11 02:40:12,-13.3433,-44.6367,65.26,51,12,1.9
153,Tuatapere,NZ,2022-05-11 02:40:12,-46.1333,167.6833,57.2,59,62,1.61
154,Meulaboh,ID,2022-05-11 02:40:13,4.1363,96.1285,83.75,75,91,3.94
155,Constitucion,CL,2022-05-11 02:36:41,-35.3333,-72.4167,56.5,69,100,7.0
156,Sao Jose Da Coroa Grande,BR,2022-05-11 02:40:14,-8.8978,-35.1478,76.05,84,44,5.61
157,Mahebourg,MU,2022-05-11 02:40:14,-20.4081,57.7,75.25,94,20,4.61
158,Torbay,CA,2022-05-11 02:35:48,47.6666,-52.7314,44.28,55,0,18.41
159,Rockhampton,AU,2022-05-11 02:38:45,-23.3833,150.5,73.29,83,75,16.11
160,Makakilo City,US,2022-05-11 02:40:15,21.3469,-158.0858,82.72,55,75,23.02
161,Svetlyy,RU,2022-05-11 02:40:15,54.675,20.1347,54.97,67,100,10.89
162,Yellowknife,CA,2022-05-11 02:40:16,62.456,-114.3525,36.12,69,100,8.05
163,Srednekolymsk,RU,2022-05-11 02:40:16,67.45,153.6833,26.24,88,100,5.23
164,Road Town,VG,2022-05-11 02:40:17,18.4167,-64.6167,80.69,83,40,9.22
165,Oranjemund,NA,2022-05-11 02:40:17,-28.55,16.4333,51.42,81,0,3.67
166,Bafoussam,CM,2022-05-11 02:40:18,5.4737,10.4179,60.98,92,90,2.35
167,Mancio Lima,BR,2022-05-11 02:40:19,-7.6142,-72.8958,72.75,97,51,2.59
168,Barra Do Corda,BR,2022-05-11 02:40:19,-5.5,-45.25,71.19,95,68,3.02
169,Rio Gallegos,AR,2022-05-11 02:40:20,-51.6226,-69.2181,42.85,61,20,11.5
170,Upernavik,GL,2022-05-11 02:40:20,72.7868,-56.1549,12.43,91,27,5.41
171,Kavaratti,IN,2022-05-11 02:40:21,10.5669,72.642,85.41,67,100,15.41
172,Luderitz,NA,2022-05-11 02:40:21,-26.6481,15.1594,56.91,60,34,9.22
173,Tapes,BR,2022-05-11 02:40:21,-30.6733,-51.3958,61.72,95,100,4.09
174,Marawi,PH,2022-05-11 02:40:22,7.9986,124.2928,78.06,81,65,2.13
175,Dalvik,IS,2022-05-11 02:40:22,65.9702,-18.5286,31.93,92,100,9.37
176,Qui Nhon,VN,2022-05-11 02:40:23,13.7667,109.2333,85.33,70,16,6.4
177,Gazli,UZ,2022-05-11 02:40:23,40.1333,63.45,69.66,29,63,12.95
178,Fortuna,US,2022-05-11 02:40:24,40.5982,-124.1573,52.86,71,20,5.99
179,San Patricio,US,2022-05-11 02:40:24,28.017,-97.5169,80.83,82,67,15.28
180,Polunochnoye,RU,2022-05-11 02:40:25,60.8697,60.4153,47.64,77,100,7.92
181,Vigia Del Fuerte,CO,2022-05-11 02:41:25,6.5789,-76.8863,74.77,99,100,3.13
182,Coahuayana,MX,2022-05-11 02:41:26,18.7333,-103.6833,73.87,88,71,1.7
183,Chokurdakh,RU,2022-05-11 02:41:26,70.6333,147.9167,16.59,89,95,7.85
184,Manzhouli,CN,2022-05-11 02:41:27,49.6,117.4333,42.69,37,100,14.76
185,Beloha,MG,2022-05-11 02:41:27,-25.1667,45.05,62.42,94,20,4.36
186,Dauphin,CA,2022-05-11 02:41:28,51.1494,-100.0502,48.34,71,0,20.71
187,Codrington,AU,2022-05-11 02:41:28,-38.2667,141.9667,66.79,55,99,1.43
188,Port Victoria,KE,2022-05-11 02:41:29,0.0939,33.9756,68.63,82,28,4.83
189,Vigrestad,NO,2022-05-11 02:41:29,58.5667,5.7,48.96,92,19,10.27
190,Dongsheng,CN,2022-05-11 02:41:29,39.8161,109.9776,48.76,23,95,13.71
191,Lompoc,US,2022-05-11 02:41:30,34.6391,-120.4579,55.54,65,0,25.99
192,Lata,PT,2022-05-11 02:41:31,40.1629,-8.3327,51.98,70,7,1.12
193,Petrovskoye,RU,2022-05-11 02:41:31,57.0104,39.2693,42.42,66,100,12.41
194,Lyudinovo,RU,2022-05-11 02:41:32,53.8664,34.4478,41.2,69,100,8.1
195,Buala,SB,2022-05-11 02:41:32,-8.145,159.5921,84.42,74,99,7.96
196,Cairns,AU,2022-05-11 02:41:32,-16.9167,145.7667,82.11,79,75,16.11
197,Sao Filipe,CV,2022-05-11 02:37:13,14.8961,-24.4956,72.19,82,13,6.69
198,Starkville,US,2022-05-11 02:39:40,33.4504,-88.8184,73.06,77,0,4.27
199,Cape Coast,GH,2022-05-11 02:41:33,5.1053,-1.2466,80.29,87,100,9.01
200,Doka,SD,2022-05-11 02:41:34,13.5167,35.7667,84.94,18,2,4.7
201,Pacifica,US,2022-05-11 02:41:34,37.6138,-122.4869,55.53,72,20,27.63
202,Wanaka,NZ,2022-05-11 02:41:35,-44.7,169.15,55.94,51,8,1.66
203,Tazovskiy,RU,2022-05-11 02:41:35,67.4667,78.7,25.79,84,100,8.7
204,Mahasamund,IN,2022-05-11 02:41:36,21.1,82.1,86.27,58,99,8.46
205,Bilibino,RU,2022-05-11 02:41:36,68.0546,166.4372,33.98,88,100,3.91
206,Eureka,US,2022-05-11 02:36:38,40.8021,-124.1637,53.13,70,21,8.01
207,Kamenka,RU,2022-05-11 02:41:37,51.3223,42.7678,36.41,97,100,14.23
208,Saldanha,ZA,2022-05-11 02:41:37,-33.0117,17.9442,55.45,91,59,4.21
209,Faanui,PF,2022-05-11 02:41:38,-16.4833,-151.75,82.98,72,11,18.3
210,Katsuura,JP,2022-05-11 02:41:38,35.1333,140.3,66.72,70,94,6.13
211,Sao Joao Da Barra,BR,2022-05-11 02:41:39,-21.6403,-41.0511,68.25,93,8,5.53
212,Anito,PH,2022-05-11 02:41:39,12.4497,125.2886,86.11,68,75,9.66
213,Myitkyina,MM,2022-05-11 02:41:40,25.3833,97.4,73.22,97,100,0.38
214,Sambava,MG,2022-05-11 02:41:40,-14.2667,50.1667,72.64,90,81,3.33
215,Atasu,KZ,2022-05-11 02:41:41,48.6814,71.6433,59.45,59,16,8.63
