City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
178,Brunico,IT,46.7958,11.9364,56.66,91,85,0.83,overcast clouds
179,Tasiilaq,GL,65.6145,-37.6368,23.16,64,30,5.1,scattered clouds
180,Restrepo,CO,3.822,-76.5224,64.74,98,100,2.53,overcast clouds
181,Naryan-Mar,RU,67.6713,53.087,43.25,96,100,11.01,overcast clouds
182,Unity,CA,52.4501,-109.1682,52.25,56,99,8.57,overcast clouds
183,Olafsvik,IS,64.8945,-23.7142,34.59,71,100,27.02,overcast clouds
184,Praia Da Vitoria,PT,38.7333,-27.0667,59.25,82,40,9.53,scattered clouds
185,Hasaki,JP,35.7333,140.8333,70.29,96,100,9.73,light rain
186,Naze,JP,28.3667,129.4833,70.72,90,100,23.87,moderate rain
187,Mount Isa,AU,-20.7333,139.5,78.57,36,0,5.75,clear sky
188,Okhotsk,RU,59.3833,143.3,39.47,78,100,9.19,overcast clouds
189,High Rock,BS,26.6208,-78.2833,68.02,70,1,6.78,clear sky
190,Lecce,IT,40.2167,18.1667,61.36,93,20,2.3,few clouds
191,Barrow,US,71.2906,-156.7887,23.02,80,100,10.36,overcast clouds
192,Sambava,MG,-14.2667,50.1667,77.77,71,9,12.48,clear sky
193,Pishin,PK,30.5803,66.9961,84.42,6,0,3.31,clear sky
194,Vardo,NO,70.3705,31.1107,33.78,80,20,13.8,few clouds
195,Ojinaga,MX,29.5667,-104.4167,90.55,13,0,16.11,clear sky
196,Sabang,ID,5.8933,95.3214,84.04,75,96,17.49,overcast clouds
197,Vitim,RU,59.4511,112.5578,58.71,55,77,8.77,light rain
198,Jacutinga,BR,-22.2856,-46.6122,56.21,86,8,4.18,clear sky
199,Pangnirtung,CA,66.1451,-65.7125,6.48,81,16,6.82,few clouds
200,Saskylakh,RU,71.9167,114.0833,20.19,89,83,19.62,broken clouds
201,Bluff,NZ,-46.6,168.3333,56.8,77,100,11.3,overcast clouds
202,Castro,BR,-24.7911,-50.0119,51.26,97,4,3.58,clear sky
203,Tamandare,BR,-8.7597,-35.1047,75.81,90,59,4.76,broken clouds
204,Vega De Alatorre,MX,20.0333,-96.6333,76.87,81,14,8.41,few clouds
205,Mattru,SL,7.6244,-11.8332,73.8,99,95,1.77,overcast clouds
206,Mikun,RU,62.3547,50.0771,51.12,67,72,8.72,broken clouds
207,Vanavara,RU,60.34,102.2797,59.88,38,100,6.29,overcast clouds
208,Quatre Cocos,MU,-20.2078,57.7625,77.09,74,76,13.71,broken clouds
209,Vzmorye,RU,54.6961,20.2361,55.0,78,68,14.07,broken clouds
210,Santa Pola,ES,38.1917,-0.5658,63.95,81,0,3.44,clear sky
211,Belmonte,BR,-15.8631,-38.8828,75.22,87,73,6.64,broken clouds
212,Tura,IN,25.5198,90.2201,79.57,84,71,6.89,heavy intensity rain
213,Margate,GB,51.3813,1.3862,50.31,87,92,17.58,overcast clouds
214,Laguna,US,38.421,-121.4238,62.89,65,0,8.05,clear sky
215,Barahona,DO,18.2085,-71.1008,77.45,80,99,7.07,overcast clouds
